city_code,city_name,province_code,region,region_b,region_c,region_s
6113,KAB. Mempawah,61,3,4,4,4
1103,KAB. ACEH SELATAN,11,3,4,2,4
7108,KAB. SIAU TAGULANDANG BIA,71,3,3,3,3
7606,KAB. Pasangkayu,76,3,3,3,3
1102,KAB. ACEH SINGKIL,11,3,4,2,4
1104,KAB. ACEH TENGGARA,11,3,4,2,4
1105,KAB. ACEH TIMUR,11,3,4,2,4
1106,KAB. ACEH TENGAH,11,3,4,2,4
1107,KAB. ACEH BARAT,11,3,4,2,4
1108,KAB. ACEH BESAR,11,3,4,2,4
1109,KAB. PIDIE,11,3,4,2,4
1110,KAB. BIREUEN,11,3,4,2,4
1111,KAB. ACEH UTARA,11,3,4,2,4
1112,KAB. ACEH BARAT DAYA,11,3,4,2,4
1113,KAB. GAYO LUES,11,3,4,2,4
1114,KAB. ACEH TAMIANG,11,3,4,2,4
1115,KAB. NAGAN RAYA,11,3,4,2,4
1116,KAB. ACEH JAYA,11,3,4,2,4
1203,KAB. TAPANULI SELATAN,12,3,3,3,3
1204,KAB. TAPANULI TENGAH,12,3,3,3,3
1205,KAB. TAPANULI UTARA,12,3,3,3,3
1206,KAB. TOBA SAMOSIR,12,3,3,3,3
1207,KAB. LABUHAN BATU,12,3,3,3,3
1117,KAB. BENER MERIAH,11,3,4,2,4
1118,KAB. PIDIE JAYA,11,3,4,2,4
1171,KOTA BANDA ACEH,11,3,4,2,4
1172,KOTA SABANG,11,3,4,2,4
1173,KOTA LANGSA,11,3,4,2,4
1174,KOTA LHOKSEUMAWE,11,3,4,2,4
1175,KOTA SUBULUSSALAM,11,3,4,2,4
1101,KAB. SIMEULUE,11,3,4,2,4
1208,KAB. ASAHAN,12,3,3,3,3
1210,KAB. DAIRI,12,3,3,3,3
1211,KAB. KARO,12,3,3,3,3
1684,KAB. P A L I,16,1,2,2,2
1202,KAB. MANDAILING NATAL,12,3,3,3,3
1212,KAB. DELI SERDANG,12,3,3,3,3
1213,KAB. LANGKAT,12,3,3,3,3
1215,KAB. HUMBANG HASUNDUTAN,12,3,3,3,3
1216,KAB. PAKPAK BHARAT,12,3,3,3,3
1217,KAB. SAMOSIR,12,3,3,3,3
1218,KAB. SERDANG BEDAGAI,12,3,3,3,3
1272,KOTA TANJUNG BALAI,12,3,3,3,3
1222,KAB. LABUHAN BATU SELATAN,12,3,3,3,3
1223,KAB. LABUHAN BATU UTARA,12,3,3,3,3
1224,KAB. NIAS UTARA,12,3,3,3,3
1225,KAB. NIAS BARAT,12,3,3,3,3
1271,KOTA SIBOLGA,12,3,3,3,3
1273,KOTA PEMATANG SIANTAR,12,3,3,3,3
1274,KOTA TEBING TINGGI,12,3,3,3,3
1275,KOTA MEDAN,12,3,3,3,3
1276,KOTA BINJAI,12,3,3,3,3
1278,KOTA GUNUNGSITOLI,12,3,3,3,3
1277,KOTA PADANGSIDIMPUAN,12,3,3,3,3
1301,KAB. KEPULAUAN MENTAWAI,13,1,3,2,3
1303,KAB. SOLOK,13,1,3,2,3
1304,KAB. SIJUNJUNG,13,1,3,2,3
1305,KAB. TANAH DATAR,13,1,3,2,3
1307,KAB. AGAM,13,1,3,2,3
1306,KAB. PADANG PARIAMAN,13,1,3,2,3
1220,KAB. PADANG LAWAS UTARA,12,3,3,3,3
1214,KAB. NIAS SELATAN,12,3,3,3,3
1201,KAB. NIAS,12,3,3,3,3
1221,KAB. PADANG LAWAS,12,3,3,3,3
1308,KAB. LIMA PULUH KOTA,13,1,3,2,3
1309,KAB. PASAMAN,13,1,3,2,3
1310,KAB. SOLOK SELATAN,13,1,3,2,3
1311,KAB. DHARMASRAYA,13,1,3,2,3
1371,KOTA PADANG,13,1,3,2,3
1312,KAB. PASAMAN BARAT,13,1,3,2,3
1372,KOTA SOLOK,13,1,3,2,3
1373,KOTA SAWAH LUNTO,13,1,3,2,3
1375,KOTA BUKITTINGGI,13,1,3,2,3
1376,KOTA PAYAKUMBUH,13,1,3,2,3
1377,KOTA PARIAMAN,13,1,3,2,3
1374,KOTA PADANG PANJANG,13,1,3,2,3
1403,KAB. INDRAGIRI HILIR,14,1,3,2,3
1404,KAB. PELALAWAN,14,1,3,2,3
1405,KAB. SIAK,14,1,3,2,3
1407,KAB. ROKAN HULU,14,1,3,2,3
1471,KOTA PEKANBARU,14,1,3,2,3
1406,KAB. Kampar,14,1,3,2,3
1408,KAB. Bengkalis,14,1,3,2,3
1401,KAB. Kuantan Singingi,14,1,3,2,3
1473,Kota Dumai,14,1,3,2,3
1410,KAB. Kepulauan Meranti,14,1,3,2,3
1505,KAB. MUARO JAMBI,15,1,3,2,3
1503,KAB. SAROLANGUN,15,1,3,2,3
1504,KAB. BATANG HARI,15,1,3,2,3
1506,KAB. TANJUNG JABUNG TIMUR,15,1,3,2,3
1507,KAB. TANJUNG JABUNG BARAT,15,1,3,2,3
1508,KAB. TEBO,15,1,3,2,3
1509,KAB. BUNGO,15,1,3,2,3
1502,KAB. Merangin,15,1,3,2,3
1572,Kota Sungai Penuh,15,1,3,2,3
1571,Kota Jambi,15,1,3,2,3
1602,KAB. OGAN KOMERING ILIR,16,1,2,2,2
1608,KAB. O K U S,16,1,2,2,2
1609,KAB. O K U T,16,1,2,2,2
1610,KAB. OGAN ILIR,16,1,2,2,2
1701,KAB. BENGKULU SELATAN,17,1,3,2,3
1702,KAB. REJANG LEBONG,17,1,3,2,3
1704,KAB. KAUR,17,1,3,2,3
1672,KOTA PRABUMULIH,16,1,2,2,2
1673,KOTA PAGAR ALAM,16,1,2,2,2
1674,KOTA LUBUKLINGGAU,16,1,2,2,2
1612,Kab.  PALI,16,1,2,2,2
1605,KAB. Musi Rawas,16,1,2,2,2
1611,KAB. Empat Lawang,16,1,2,2,2
1709,KAB. BENGKULU TENGAH,17,1,3,2,3
1771,KOTA BENGKULU,17,1,3,2,3
1703,KAB. Bengkulu Utara,17,1,3,2,3
1705,KAB. SELUMA,17,1,3,2,3
1706,KAB. MUKOMUKO,17,1,3,2,3
1707,KAB. LEBONG,17,1,3,2,3
1708,KAB. KEPAHIANG,17,1,3,2,3
1802,KAB. TANGGAMUS,18,1,1,1,2
1803,KAB. LAMPUNG SELATAN,18,1,1,1,2
1804,KAB. LAMPUNG TIMUR,18,1,1,1,2
1805,KAB. LAMPUNG TENGAH,18,1,1,1,2
1806,KAB. LAMPUNG UTARA,18,1,1,1,2
1807,KAB. WAY KANAN,18,1,1,1,2
1902,KAB. BELITUNG,19,1,3,2,3
1901,KAB. BANGKA,19,1,3,2,2
1903,KAB. BANGKA BARAT,19,1,3,2,2
1811,KAB. MESUJI,18,1,1,1,2
1872,KOTA METRO,18,1,1,1,2
1871,Kota Bandar Lampung,18,1,1,1,2
1810,KAB. Pringsewu,18,1,1,1,2
1812,KAB. Tulang Bawang Barat,18,1,1,1,2
1873,KAB. Pesisir Barat,18,1,1,1,2
1904,KAB. BANGKA TENGAH,19,1,3,2,2
1906,KAB. BELITUNG TIMUR,19,1,3,2,3
1971,KOTA PANGKAL PINANG,19,1,3,2,3
2171,Kota Batam,21,1,4,2,4
2102,KAB. BINTAN,21,1,4,2,4
2172,KOTA TANJUNG PINANG,21,1,4,2,4
2101,KAB. Karimun,21,1,4,2,4
2103,KAB. Natuna,21,1,4,2,4
3101,KAB. KEPULAUAN SERIBU,31,1,1,1,1
3171,KOTA JAKARTA SELATAN,31,1,1,1,1
3172,KOTA JAKARTA TIMUR,31,1,1,1,1
3173,KOTA JAKARTA PUSAT,31,1,1,1,1
3174,KOTA JAKARTA BARAT,31,1,1,1,1
3175,KOTA JAKARTA UTARA,31,1,1,1,1
3201,KAB. BOGOR,32,1,1,1,1
3202,KAB. SUKABUMI,32,1,1,1,1
3203,KAB. CIANJUR,32,1,1,1,1
3204,KAB. BANDUNG,32,1,1,1,1
3205,KAB. GARUT,32,1,1,1,1
3206,KAB. TASIKMALAYA,32,1,1,1,1
3208,KAB. KUNINGAN,32,1,1,1,1
3209,KAB. CIREBON,32,1,1,1,1
3210,KAB. MAJALENGKA,32,1,1,1,1
3211,KAB. SUMEDANG,32,1,1,1,1
