camat_code,city_code,camat_name,geomap
122113,1221,SOSA JULU,
122114,1221,SOSA TIMUR,
122115,1221,ULU SOSA,
122116,1221,BARUMUN BARU,
122117,1221,BARUMUN BARAT,
610401,6104,JONGKAT,
111001,1110,SAMALANGA,
120204,1202,LINGGA BAYU,
130908,1309,RAO,
352113,3521,NGAWI,
730806,7308,LAU,
941105,9411,ILU,
168401,1684,Abab,
168402,1684,Penukal,
168403,1684,Penukal Utara,
168404,1684,Tanah Abang,
351619,3516,Gegeg,
531122,5311,Kota Baru,
530920,5309,Lewolema,
531213,5312,Riung Selatan,
531411,5314,Ndao Nuse,
530810,5308,Buyasuri,
611301,6113,Anjongan,
611302,6113,Mempawah Hilir,
611303,6113,Mempawah Timur,
611304,6113,Sadaniang,
611305,6113,Segedong,
611306,6113,Siantan,
611307,6113,Kunyit,
611308,6113,Sungai Pinyuh,
611309,6113,Toho,
710518,7105,Suluun Tareran,
760601,7606,Bambaira,
760602,7606,Bambalamutu,
760603,7606,Baras,
760604,7606,Bulu Taba,
760605,7606,Dapurang,
760606,7606,Duripoku,
760607,7606,Lariang,
760608,7606,Pasangkayu,
760609,7606,Pedongga,
760610,7606,Sarjo,
760611,7606,Sarudu,
760612,7606,Tikke Raya,
730211,7302,Herlang,
731723,7317,Bua Ponrang,
740623,7406,Mataoleo,
740122,7401,Siontapia,
740907,7409,Wakorumba Utara,
810320,8103,Saparua Timur,
810907,8108,Waesama,
121017,1210,Sibiru-biru,
161308,1613,Lain-lain,""
110101,1101,TEUPAH SELATAN,
110102,1101,SIMEULUE TIMUR,
110103,1101,TEUPAH BARAT,
110104,1101,SIMEULUE TENGAH,
110105,1101,TELUK DALAM,
110106,1101,SALANG,
110107,1101,SIMEULUE BARAT,
110108,1101,ALAFAN,
110201,1102,PULAU BANYAK,
110202,1102,PULAU BANYAK BARAT,
110203,1102,SINGKIL,
110204,1102,SINGKIL UTARA,
110205,1102,KUALA BARU,
110206,1102,SIMPANG KANAN,
110207,1102,GUNUNG MERIAH,
110208,1102,DANAU PARIS,
110209,1102,SURO MAKMUR,
110210,1102,SINGKOHOR,
110211,1102,KOTA BAHARU,
110301,1103,TRUMON,
110302,1103,TRUMON TIMUR,
110303,1103,TRUMON TENGAH,
110304,1103,BAKONGAN,
110305,1103,BAKONGAN TIMUR,
110306,1103,KOTA BAHAGIA,
110307,1103,KLUET SELATAN,
110308,1103,KLUET TIMUR,
110309,1103,KLUET UTARA,
110310,1103,PASIE RAJA,
110311,1103,KLUET TENGAH,
110312,1103,TAPAK TUAN,
110313,1103,SAMA DUA,
110314,1103,SAWANG,
110315,1103,MEUKEK,
110316,1103,LABUHAN HAJI,
110317,1103,LABUHAN HAJI TIMUR,
110318,1103,LABUHAN HAJI BARAT,
110401,1104,LAWE ALAS,
110402,1104,BABUL RAHMAD,
110403,1104,TANOH ALAS,
110404,1104,LAWE SIGALA-GALA,
110405,1104,BABUL MAKMUR,
110406,1104,SEMADAM,
110407,1104,LAUSER,
