province_code,province_name
11,ACEH
13,SUMATERA BARAT
15,JAMBI
17,BENGKULU
19,KEPULAUAN BANGKA BELITUNG
31,DKI JAKARTA
33,JAWA TENGAH
35,JAWA TIMUR
51,BALI
53,NUSA TENGGARA TIMUR
62,KALIMANTAN TENGAH
64,KALIMANTAN TIMUR
72,SULAWESI TENGAH
74,SULAWESI TENGGARA
76,SULAWESI BARAT
82,MALUKU UTARA
94,PAPUA
12,SUMATERA UTARA
14,RIAU
16,SUMATERA SELATAN
18,LAMPUNG
21,KEPULAUAN RIAU
32,JAWA BARAT
34,DI YOGYAKARTA
36,BANTEN
52,NUSA TENGGARA BARAT
61,KALIMANTAN BARAT
63,KALIMANTAN SELATAN
71,SULAWESI UTARA
73,SULAWESI SELATAN
75,GORONTALO
81,MALUKU
91,PAPUA BARAT
65,KALIMANTAN UTARA
